day,proc,W,n_hb
20140401,P,1,0.6243888527461562
20140401,P,5,0.6814958368460208
20140401,P,10,0.7118103134730784
20140401,P,30,0.7665826136824287
20140401,P,60,0.8022030105758108
20140401,P,300,0.8802387798019937
20140401,P,600,0.9014341064289988
20140401,Tr,1,0.5976961283155164
20140401,Tr,5,0.6886677610041602
20140401,Tr,10,0.7282629867594135
20140401,Tr,30,0.7892821255820067
20140401,Tr,60,0.8279522723199138
20140401,Tr,300,0.9041714364598626
20140401,Tr,600,0.9281956212095213
20140402,P,1,0.6670592503722748
20140402,P,5,0.7469057054034418
20140402,P,10,0.7765584799617661
20140402,P,30,0.8346833856806377
20140402,P,60,0.8621444243480625
20140402,P,300,0.9140420234700432
20140402,P,600,0.9249516627213229
20140402,Tr,1,0.64887628753
20140402,Tr,5,0.7607611075090983
20140402,Tr,10,0.7978279454182609
20140402,Tr,30,0.854154328404101
20140402,Tr,60,0.8783983613265636
20140402,Tr,300,0.9285927723186355
20140402,Tr,600,0.9426449368763892
20140403,P,1,0.7335235270534871
20140403,P,5,0.7973504721494052
20140403,P,10,0.8294752876969411
20140403,P,30,0.8820162612777295
20140403,P,60,0.9064962463462394
20140403,P,300,0.9446598863005725
20140403,P,600,0.9590740481740943
20140403,Tr,1,0.6496435988857845
20140403,Tr,5,0.7702200629301272
20140403,Tr,10,0.8131015255448087
20140403,Tr,30,0.8705354910618455
20140403,Tr,60,0.8957878206837327
20140403,Tr,300,0.9400194507512585
20140403,Tr,600,0.9541453225866826
20140404,P,1,0.7699156934691824
20140404,P,5,0.8507663035908597
20140404,P,10,0.8852665612111834
20140404,P,30,0.911989648123561
20140404,P,60,0.927020324616097
20140404,P,300,0.9552971274024639
20140404,P,600,0.9633497203571754
20140404,Tr,1,0.6547740123710774
20140404,Tr,5,0.7873860594342549
20140404,Tr,10,0.8342541112266396
20140404,Tr,30,0.8871604160703931
20140404,Tr,60,0.9150457734091229
20140404,Tr,300,0.955520239401733
20140404,Tr,600,0.9649834514805109
20140407,P,1,0.6937103065746805
20140407,P,5,0.7470902901717862
20140407,P,10,0.7583709228271356
20140407,P,30,0.7934927143715647
20140407,P,60,0.8186391235050754
20140407,P,300,0.8733729077042224
20140407,P,600,0.8943431594557287
20140407,Tr,1,0.6513766615236483
20140407,Tr,5,0.7399621740398783
20140407,Tr,10,0.7801206807389974
20140407,Tr,30,0.8302467578991988
20140407,Tr,60,0.8579851794397853
20140407,Tr,300,0.912172807918406
20140407,Tr,600,0.9332836367319193
20140408,P,1,0.6186062955049094
20140408,P,5,0.673857520368617
20140408,P,10,0.7005425387096909
20140408,P,30,0.7361975916537637
20140408,P,60,0.7652606676149996
20140408,P,300,0.8446269476218691
20140408,P,600,0.8702963234641162
20140408,Tr,1,0.6218999999441777
20140408,Tr,5,0.7251740539227032
20140408,Tr,10,0.767050125253937
20140408,Tr,30,0.8158012095800253
20140408,Tr,60,0.849546210207933
20140408,Tr,300,0.9115750892455168
20140408,Tr,600,0.929565448853574
20140409,P,1,0.6339292702536818
20140409,P,5,0.6916355215179373
20140409,P,10,0.7207202300100999
20140409,P,30,0.7731982786257827
20140409,P,60,0.8052715031393628
20140409,P,300,0.8765857136983903
20140409,P,600,0.8939884328452238
20140409,Tr,1,0.6140237107718145
20140409,Tr,5,0.7262233421681936
20140409,Tr,10,0.7639823252124018
20140409,Tr,30,0.8256804859298581
20140409,Tr,60,0.8543394953430067
20140409,Tr,300,0.9160928144800337
20140409,Tr,600,0.9327623452654837
20140410,P,1,0.6367888197743727
20140410,P,5,0.6964949612176836
20140410,P,10,0.7205119848529546
20140410,P,30,0.7651780475610482
20140410,P,60,0.7969235049346958
20140410,P,300,0.8705820401266235
20140410,P,600,0.8930363295750613
20140410,Tr,1,0.6397959059004596
20140410,Tr,5,0.7300502106360437
20140410,Tr,10,0.7660485246467678
20140410,Tr,30,0.8261982315549559
20140410,Tr,60,0.8585260530863595
20140410,Tr,300,0.9132689375116317
20140410,Tr,600,0.9320429955184861
20140411,P,1,0.6698830901550427
20140411,P,5,0.7187654266177663
20140411,P,10,0.7418413510265646
20140411,P,30,0.7901028380448458
20140411,P,60,0.8214051520221057
20140411,P,300,0.8914499760848664
20140411,P,600,0.9159693166459216
20140411,Tr,1,0.6206521687435462
20140411,Tr,5,0.7249286041800199
20140411,Tr,10,0.768105108603439
20140411,Tr,30,0.8312745296769972
