day,proc,model,knot_step,penalty,n,success,nbas,beta,raw_n
20140401,P,exp,1800.0,0.001,0.5447701055182574,True,31,1606.6886003360269,0.545786471035749
20140401,P,soe,1800.0,0.001,0.8416198706736661,True,31,,0.9239409674435334
20140401,Tr,exp,1800.0,0.001,0.3002959180795031,True,31,976.7428579598468,0.3016872942693615
20140401,Tr,soe,1800.0,0.001,0.8265714720995193,True,31,,0.9617454197063716
20140402,P,exp,1800.0,0.001,0.563083761383915,True,31,1581.6575509755517,0.5640799451496045
20140402,P,soe,1800.0,0.001,0.8571376051328752,True,31,,0.9276721318154756
20140402,Tr,exp,1800.0,0.001,0.2947322326582078,True,31,802.4123448909147,0.2965882529698543
20140402,Tr,soe,1800.0,0.001,0.8545990443221708,True,31,,0.9391426800604218
20140403,P,exp,1800.0,0.001,0.5711245391559036,True,31,1581.0600450599914,0.5728507546978566
20140403,P,soe,1800.0,0.001,0.9021238290806032,True,31,,0.968560058145542
20140403,Tr,exp,1800.0,0.001,0.5740994333776481,True,31,13.798292204324818,0.6906056016112613
20140403,Tr,soe,1800.0,0.001,0.8642581135223867,True,31,,0.9632685390930912
20140404,P,exp,1800.0,0.001,0.5676133551342096,True,31,1550.9967076755602,0.5707561692867316
20140404,P,soe,1800.0,0.001,0.9153370709612624,True,31,,0.9486663004027988
20140404,Tr,exp,1800.0,0.001,0.5207902094466133,True,31,21.44396899448176,0.6536503876760275
20140404,Tr,soe,1800.0,0.001,0.8930923037758343,True,31,,0.9514333124254986
20140407,P,exp,1800.0,0.001,0.555355817460526,True,31,1694.7299424365567,0.5558656183390156
20140407,P,soe,1800.0,0.001,0.8470079832196526,True,31,,0.9310997957971978
20140407,Tr,exp,1800.0,0.001,0.3878334833412824,True,31,148.68241462850568,0.4469615544027093
20140407,Tr,soe,1800.0,0.001,0.8167791905535811,True,31,,0.9426989629508552
20140408,P,exp,1800.0,0.001,0.5438186970825886,True,31,1712.1086986415537,0.5442443779883281
20140408,P,soe,1800.0,0.001,0.8371186771956398,True,31,,0.9181946819846942
20140408,Tr,exp,1800.0,0.001,0.2901292422549156,True,31,1060.2680413908831,0.2913087282332051
20140408,Tr,soe,1800.0,0.001,0.8369837428901534,True,31,,0.9566611707764988
20140409,P,exp,1800.0,0.001,0.5469790131849386,True,31,1657.4788709228003,0.547631252302473
20140409,P,soe,1800.0,0.001,0.884623129077764,True,31,,0.9224475223071716
20140409,Tr,exp,1800.0,0.001,0.4475580724111641,True,31,35.59103481042656,0.5407930558697067
20140409,Tr,soe,1800.0,0.001,0.8712543117917133,True,31,,0.9240288118033154
20140410,P,exp,1800.0,0.001,0.5436115752946367,True,31,1578.338335427816,0.5443512120512013
20140410,P,soe,1800.0,0.001,0.8532390807838885,True,31,,0.9102996204152706
20140410,Tr,exp,1800.0,0.001,0.3809419342998583,True,31,293.5661255486302,0.3835512328601611
20140410,Tr,soe,1800.0,0.001,0.8453741354655396,True,31,,0.9428318891175822
20140411,P,exp,1800.0,0.001,0.5673542473508889,True,31,1930.332470305657,0.5680293174085962
20140411,P,soe,1800.0,0.001,0.8486777069307115,True,31,,0.9458679905955958
20140411,Tr,exp,1800.0,0.001,0.3096918877774696,True,31,855.6944593589474,0.3114743331067466
20140411,Tr,soe,1800.0,0.001,0.8428474203753097,True,31,,0.9617085316853428
20140414,P,exp,1800.0,0.001,0.5837282801246962,True,31,1879.9713172483816,0.583578769075923
20140414,P,soe,1800.0,0.001,0.8784081957388246,True,31,,0.9483738300948796
20140414,Tr,exp,1800.0,0.001,0.5230024035347461,True,31,22.73531295988687,0.6429862195009594
20140414,Tr,soe,1800.0,0.001,0.8485426508814655,True,31,,0.9618576447402544
20140415,P,exp,1800.0,0.001,0.5977046548933916,True,31,1775.435169229244,0.5985642903212336
20140415,P,soe,1800.0,0.001,0.8693754270768448,True,31,,0.9384277064670544
20140415,Tr,exp,1800.0,0.001,0.2983366846955539,True,31,811.3633496420406,0.3006146259744383
20140415,Tr,soe,1800.0,0.001,0.8464652048764777,True,31,,0.9373373593578096
20140416,P,exp,1800.0,0.001,0.6000834468827785,True,31,1828.6502778746103,0.6006658209968226
20140416,P,soe,1800.0,0.001,0.8881327113133826,True,31,,0.9415179180626186
20140416,Tr,exp,1800.0,0.001,0.303663251948898,True,31,857.2940943603971,0.3048727761532068
20140416,Tr,soe,1800.0,0.001,0.83596672771368,True,31,,0.9539769953900225
20140417,P,exp,1800.0,0.001,0.5768172810126678,True,31,1772.0340868685437,0.5770697605533129
20140417,P,soe,1800.0,0.001,0.8705891244644186,True,31,,0.92800074230114
20140417,Tr,exp,1800.0,0.001,0.6349809815291615,True,31,8.17916708425602,0.6594048312830709
20140417,Tr,soe,1800.0,0.001,0.8654274219824212,True,31,,0.9491120951023764
20140422,P,exp,1800.0,0.001,0.5910265510739261,True,31,1844.6284093243987,0.5915037107264784
20140422,P,soe,1800.0,0.001,0.8476681732583993,True,31,,0.9135599092557471
20140422,Tr,exp,1800.0,0.001,0.6886074940206356,True,31,4.576303470150806,0.7107704458875486
20140422,Tr,soe,1800.0,0.001,0.8673247631524766,True,31,,0.9465608222255636
20140423,P,exp,1800.0,0.001,0.6153435977632368,True,31,1613.2948249956032,0.6164103632100876
20140423,P,soe,1800.0,0.001,0.8957387694753239,True,31,,0.9448521191962856
20140423,Tr,exp,1800.0,0.001,0.6691624782741532,True,31,7.539865591664371,0.7017944481135932
20140423,Tr,soe,1800.0,0.001,0.8998528065666751,True,31,,0.962141498355582
20140424,P,exp,1800.0,0.001,0.6018208544090766,True,31,1634.5385981047614,0.6032528176077621
20140424,P,soe,1800.0,0.001,0.8889905717852936,True,31,,0.9505970798500518
20140424,Tr,exp,1800.0,0.001,0.3290560144277555,True,31,338.9219169890751,0.3823884796500509
20140424,Tr,soe,1800.0,0.001,0.9212807313850436,True,31,,0.964217037283881
20140425,P,exp,1800.0,0.001,0.6046332065452501,True,31,1836.399469049859,0.6053445968809202
20140425,P,soe,1800.0,0.001,0.8467653556962301,True,31,,0.9342022537154672
20140425,Tr,exp,1800.0,0.001,0.6353432998591096,True,31,8.996804007769587,0.6643323429335054
20140425,Tr,soe,1800.0,0.001,0.8625765014335491,True,31,,0.9465228929073464
20140428,P,exp,1800.0,0.001,0.5772052144794795,True,31,1930.309301962175,0.5776287679640135
20140428,P,soe,1800.0,0.001,0.8351414236394559,True,31,,0.9080344462579544
20140428,Tr,exp,1800.0,0.001,0.3521277604468466,True,31,591.9209317538593,0.353514784464738
20140428,Tr,soe,1800.0,0.001,0.7633770871220878,True,31,,0.9410521852020745
20140429,P,exp,1800.0,0.001,0.6145963854436265,True,31,1632.503633591269,0.6155024575951255
20140429,P,soe,1800.0,0.001,0.8898079835422155,True,31,,0.9502720219728914
20140429,Tr,exp,1800.0,0.001,0.4351819343256807,True,31,86.49187229774387,0.5084250056927679
20140429,Tr,soe,1800.0,0.001,0.8644733603699614,True,31,,0.9665867628715268
20140430,P,exp,1800.0,0.001,0.58895308713961,True,31,1610.503326368889,0.5908287429435187
20140430,P,soe,1800.0,0.001,0.9117364863353086,True,31,,0.9528498815335286
20140430,Tr,exp,1800.0,0.001,0.4416548059530087,True,31,107.51653185819109,0.5130257692360147
20140430,Tr,soe,1800.0,0.001,0.8647827675123708,True,31,,0.9349142215404256
