n_true,profile,rep,N,n_exp,n_soe,n_exp_1s,beta_exp
0.5,fast,0,5796,0.3654252828490305,0.4700139289341299,0.4864870790069922,1860.0165857758168
0.5,fast,1,5965,0.3823046042031198,0.4855748091156603,0.5035094688980577,1568.5086756446078
0.5,fast,2,5930,0.3761151481163922,0.4853574688025451,0.4963318148506982,1970.3141814003209
0.5,fast,3,6035,0.3819943137715787,0.5036336251229251,0.5036230029037772,1743.9084033482052
0.5,fast,4,6002,0.3858023581312905,0.4857656421153538,0.4956016606976882,1593.3756321301817
0.5,fast,5,5984,0.3689119508203146,0.5457743660564786,0.4910452871592582,1776.044079113604
0.5,fast,6,6098,0.3763034913646507,0.4901185410048486,0.5071602603868121,1740.6043967774256
0.5,fast,7,6024,0.3740928595762168,0.5200692243155689,0.483927534556357,1660.1142254323515
0.5,fast,8,5866,0.3710625402648885,0.4847668766777543,0.4794658195161157,1790.6088321116415
0.5,fast,9,5986,0.3858162241337984,0.5925948145317426,0.5021678838820075,1650.700004342692
0.5,fast,10,5929,0.3798244547314595,0.4849673353749896,0.4970251254379843,1797.6953827739626
0.5,fast,11,6170,0.3860208405120046,0.5059778022356318,0.5039416003710678,1812.981881255933
0.5,fast,12,6099,0.3824135022189976,0.4826781731003329,0.4885142841259122,1656.3805194655124
0.5,fast,13,5855,0.3611971256495436,0.570538203019363,0.4834841408563664,1791.5178460015482
0.5,fast,14,5893,0.3581816835547467,0.5005717454818195,0.5032314328580662,1576.7667061958466
0.5,fast,15,6022,0.3901536339380259,0.522209330696699,0.506486245101733,1644.089235781808
0.5,fast,16,6015,0.3860201764563574,0.4916854043157672,0.5065270884054739,1542.0443088580969
0.5,fast,17,6014,0.3831759023653378,0.499618565651151,0.496089647434916,1791.8814483688393
0.5,fast,18,6289,0.3974358214552927,0.5637504356214418,0.5202321898564402,1789.6209049123668
0.5,fast,19,6121,0.379593490980574,0.5295686043687443,0.5046015594755633,1818.8268528476967
0.5,fast,20,6044,0.3788287742300259,0.5583255908589112,0.487335022476957,1679.6883918731166
0.5,fast,21,6197,0.384230116171636,0.5271924750520304,0.4913069387250147,1596.3343725175812
0.5,fast,22,5961,0.3691444488698737,0.4968032767105022,0.4887210187261386,1902.674070101183
0.5,fast,23,6031,0.3921382466924074,0.5429802573323584,0.4995769877351854,1828.02244827527
0.5,fast,24,5827,0.374874113160735,0.5639925732020574,0.494039397473167,1880.3065012312995
0.5,fast,25,5898,0.3761742679576318,0.5656186678088888,0.4790476718689474,1875.5500858676817
0.5,fast,26,5968,0.3847976097659307,0.4793042449916011,0.4876651494579611,1727.4291566009117
0.5,fast,27,5714,0.3561420188207386,0.5516194260226934,0.4823232914123436,1887.6789906663653
0.5,fast,28,6170,0.3828357904469734,0.478980925931352,0.4812713557316764,1993.940556525495
0.5,fast,29,5996,0.3725919177833239,0.5170708907034068,0.4960589762927075,1821.8244319042835
0.5,balanced,0,6158,0.1727736078405383,0.5341802567057454,0.3756231586310175,1188.5037467078585
0.5,balanced,1,5944,0.1903146267914305,0.4791210360520507,0.3829507152485779,963.7051452232082
0.5,balanced,2,5750,0.1721455247723596,0.361766599820273,0.3459342361320022,1090.2933144417143
0.5,balanced,3,6091,0.1805046188442856,0.5382058634318011,0.3763568329419791,1175.864438772083
0.5,balanced,4,6112,0.1801982230476094,0.505418053594001,0.3924060277183349,958.6817958229992
0.5,balanced,5,6039,0.1783654911923486,0.4554616343584787,0.35040586411807,1079.3879394179269
0.5,balanced,6,6043,0.1723822734852279,0.4747522728633202,0.3557007962100535,1069.062197830324
0.5,balanced,7,5964,0.1736552998175989,0.5066478691852748,0.3425921645122646,1111.7129641393385
0.5,balanced,8,5966,0.1860866950953963,0.4609491462159812,0.3827186191154551,804.0911476151236
0.5,balanced,9,6028,0.1886493636209031,0.5614337649865889,0.3798723420664625,891.3313022360772
0.5,balanced,10,5835,0.1758317799644034,0.4317227795988894,0.3709810999045781,1012.653919689534
0.5,balanced,11,6281,0.1723386192840242,0.4754809318509497,0.3599153720238978,1284.4952525873864
0.5,balanced,12,6079,0.1778651858998909,0.5372095868950261,0.3689990799773657,1181.3060766339242
0.5,balanced,13,5856,0.1893960425941125,0.5281417485825167,0.3767732168160125,915.2843030270664
0.5,balanced,14,6052,0.1836174821459844,0.4148728634348813,0.3587898024311322,922.9501436046024
0.5,balanced,15,6241,0.1804114256588734,0.5007938652060336,0.3599994780637464,1028.7398703680235
0.5,balanced,16,6120,0.1932442180022991,0.4127818004123655,0.391969190753459,894.9205934990249
0.5,balanced,17,6228,0.181541456013997,0.3939480978479142,0.3464861170104318,830.502767315395
0.5,balanced,18,6291,0.1911721616355865,0.4671381509855808,0.3907915178764037,1092.9164639587436
0.5,balanced,19,6126,0.1735502957132154,0.5358942189163768,0.3882731433612281,1214.302722266507
0.5,balanced,20,5915,0.1824989316883278,0.4991822531299896,0.3554730992481245,1022.8440232199156
0.5,balanced,21,6032,0.1854056304243933,0.5970211652671122,0.3868644018700409,907.538712064226
0.5,balanced,22,5870,0.1729689687819531,0.4454251653176964,0.3952570219708271,1261.2137969306482
0.5,balanced,23,6018,0.1773632982450435,0.4133765238620072,0.3793306601086726,1120.160543685722
0.5,balanced,24,5873,0.1725540861346875,0.4831111119839384,0.3763189615333365,1172.177569889766
0.5,balanced,25,6157,0.1887432692102878,0.467795454249847,0.3732750205026187,825.6417225334784
0.5,balanced,26,6090,0.1914397907409565,0.5014748090641717,0.3954860352955056,931.7464419740336
0.5,balanced,27,5986,0.1692238500954151,0.4656923257048531,0.3655426000352365,1125.2434679358391
0.5,balanced,28,5884,0.1797363856650721,0.3851711461370938,0.3505726721048295,1241.1692059005627
0.5,balanced,29,6094,0.1804702378609629,0.503349400258279,0.3936458165211907,1064.446538668888
0.5,slow,0,5998,0.0477018288152035,0.3513982782704473,0.2132011652005209,176.55384152706156
0.5,slow,1,5954,0.0466360502390108,0.5359361644110762,0.2127613057092826,156.5312116618043
0.5,slow,2,5964,0.0268875837615421,0.4371854928650696,0.2637287797792221,932.9761534562462
0.5,slow,3,6025,0.0506560303669222,0.3742587795004315,0.1845897666340596,155.3898623436162
0.5,slow,4,6094,0.0620302759839831,0.5203247853961053,0.1987483857675707,85.2264455922263
0.5,slow,5,5559,0.0590889259472577,0.4802602198699141,0.2041133815754718,62.26991112966043
0.5,slow,6,5847,0.03955577778484,0.1843746294554361,0.1500534266295599,249.73018188836613
0.5,slow,7,5981,0.0387773329450815,0.5033473820729988,0.237256976169562,228.3746704863128
0.5,slow,8,6086,0.0382294636980385,0.4741008182399031,0.2353781143306794,186.0083284150873
0.5,slow,9,6191,0.046891150008334,0.5519500297699196,0.2423720884887631,111.58357858304048
0.5,slow,10,6175,0.0434729093879371,0.4180310835806425,0.2277032590693338,198.85140482266027
0.5,slow,11,5936,0.0363924338234603,0.529237050654873,0.1947313484448249,256.32906201542283
0.5,slow,12,5716,0.0408551040094702,0.4505341070746309,0.1554070478487748,298.4682302995459
0.5,slow,13,5992,0.030710334701129,0.5311350655334196,0.3288189834537982,466.2084354244295
0.5,slow,14,6239,0.0681180902982279,0.2998044952436196,0.1964300401127947,55.9702273270828
0.5,slow,15,5998,0.0458461546619636,0.5404082924953821,0.2345653593771777,200.8261111015792
0.5,slow,16,6053,0.0315898236620546,0.4599879316482777,0.1608940051865321,391.0697685659419
0.5,slow,17,5844,0.0397105157194895,0.4059137630102725,0.2402596930959491,188.7046099730782
0.5,slow,18,5821,0.0447157156029543,0.572897739500883,0.2750494882267073,166.91408767108285
0.5,slow,19,6006,0.0258935367133898,0.1277533617047608,0.1587204835220172,577.0248050312453
0.5,slow,20,5859,0.0465882225250227,0.3999617199063386,0.225881226546885,137.23974738147817
0.5,slow,21,5885,0.0511841265411602,0.5373325934379088,0.2023900276180223,94.98163002252564
0.5,slow,22,6089,0.0313420104949319,0.41428837679682,0.19781704332967,471.3932270589534
0.5,slow,23,5974,0.0403537554284019,0.3698968024782915,0.2240774939210189,261.01246305684924
0.5,slow,24,6136,0.0283105907138884,0.4698132165116528,0.2699980807860027,585.3077218503508
0.5,slow,25,5990,0.0261627494888226,0.6218389369529874,0.2526410846857146,802.1104842469122
0.5,slow,26,5962,0.0255325860217915,0.5763984559669161,0.2843875428785224,629.6297858087702
0.5,slow,27,5564,0.037717321434776,0.3238410042999688,0.1967003532829328,184.48217780610784
0.5,slow,28,5856,0.0387979737673435,0.358932931650676,0.2235789371717295,183.08063268475613
0.5,slow,29,6232,0.0476851264018448,0.4797548231223207,0.2687173420476166,155.10466440090428
0.7,fast,0,6390,0.5545663938788744,0.7087816876063213,0.6774042819442175,1472.1596102906003
0.7,fast,1,5656,0.531029709797035,0.7065478583729359,0.6597304786758059,1374.9356170388162
0.7,fast,2,6254,0.5502559914823871,0.9504329113710102,0.6814371531676802,1390.742545969853
0.7,fast,3,5919,0.5448396325174899,0.7200575466675418,0.669623234006739,1415.405510713151
0.7,fast,4,6557,0.5571813404755458,0.7017409147415787,0.681725595810957,1532.062796602361
