grid,K,beta_min,beta_max,day,proc,n,loglik,success,mass_lt_1ms,mass_1ms_100ms,mass_0p1_10s,mass_gt_10s
K5_1e-2_1e4,5,0.01,10000.0,20140401,P,0.9264646485455592,12758.709583866324,True,0.0017742037899933,0.5651953115255598,0.2347862026529683,0.1247089305770376
K5_1e-2_1e4,5,0.01,10000.0,20140401,Tr,0.9619621145053492,7223.0704692230065,True,0.0009219178679314,0.3041137851504646,0.3679391413441368,0.2889872701428164
K5_1e-2_1e4,5,0.01,10000.0,20140402,P,0.9289008594978478,16645.022040115025,True,0.0019074574636692,0.5794010326671051,0.2261814040014382,0.1214109653656351
K5_1e-2_1e4,5,0.01,10000.0,20140402,Tr,0.9410948429183448,11974.272532861423,True,0.0008778593062846,0.2888261912152071,0.4278598927998117,0.2235308995970413
K5_1e-2_1e4,5,0.01,10000.0,20140403,P,0.969162640452616,33414.05937177812,True,0.0018018555462482,0.5891495258292876,0.2449273368747971,0.133283922202283
K5_1e-2_1e4,5,0.01,10000.0,20140403,Tr,0.9645534439081656,19744.76609252715,True,0.0007821348863369,0.2357172804270081,0.5569800531335196,0.1710739754613009
K5_1e-2_1e4,5,0.01,10000.0,20140404,P,0.9499531098981993,30554.96153967261,True,0.0018546994935235,0.5835834015534558,0.2263636938066109,0.1381513150446089
K5_1e-2_1e4,5,0.01,10000.0,20140404,Tr,0.9531098572840268,27195.71655758826,True,0.0008856577456954,0.2758513094486896,0.4826451458647268,0.1937277442249149
K5_1e-2_1e4,5,0.01,10000.0,20140407,P,0.9328584616867076,20187.151534965134,True,0.0017364630916866,0.5746957886305375,0.2501946691118651,0.1062315408526183
K5_1e-2_1e4,5,0.01,10000.0,20140407,Tr,0.9440366259792744,14810.816512962636,True,0.037174579164622,0.2452908098596133,0.4697356299699871,0.1918356069850519
K5_1e-2_1e4,5,0.01,10000.0,20140408,P,0.9218148844913256,13572.037221314991,True,0.0018650635477305,0.5623959952202113,0.2158907469810987,0.1416630787422848
K5_1e-2_1e4,5,0.01,10000.0,20140408,Tr,0.95742020200675,15498.148019019944,True,0.0009029754113414,0.2949260561780424,0.4809368173659899,0.180654353051376
K5_1e-2_1e4,5,0.01,10000.0,20140409,P,0.9259873624170688,13851.16063305298,True,0.0018074049943581,0.5678586094432279,0.2450292650942858,0.1112920828851968
K5_1e-2_1e4,5,0.01,10000.0,20140409,Tr,0.9262285955455484,7395.387435456287,True,0.0008264024991261,0.2675943618122322,0.4713605162371699,0.1864473149970199
K5_1e-2_1e4,5,0.01,10000.0,20140410,P,0.912445179058204,20397.40064343841,True,0.0018033048501605,0.5639777666001597,0.245341964787297,0.1013221428205866
K5_1e-2_1e4,5,0.01,10000.0,20140410,Tr,0.9443956732291144,21592.601054688024,True,0.0009805850081157,0.3267320988522265,0.4005966552431,0.216086334125672
K5_1e-2_1e4,5,0.01,10000.0,20140411,P,0.9472707500024744,27247.26564212666,True,0.00200272286016,0.5888878404479055,0.2122905512370422,0.1440896354573665
K5_1e-2_1e4,5,0.01,10000.0,20140411,Tr,0.9624167088487976,22606.113249369868,True,0.0009378668481217,0.3107053948515961,0.4520002195479587,0.1987732276011209
K5_1e-2_1e4,5,0.01,10000.0,20140414,P,0.950202367721067,18679.39296695124,True,0.0017554811333798,0.6008767867095363,0.2252601733763164,0.1223099265018344
K5_1e-2_1e4,5,0.01,10000.0,20140414,Tr,0.963560083680972,13608.26271390371,True,0.000837206816018,0.2924911366652339,0.5012244790962599,0.1690072611034603
K5_1e-2_1e4,5,0.01,10000.0,20140415,P,0.9400569273759344,28200.4744262584,True,0.0025481544388518,0.6127387949356041,0.2146361692985706,0.1101338087029078
K5_1e-2_1e4,5,0.01,10000.0,20140415,Tr,0.9396974256486084,18914.047702797685,True,0.000926373533937,0.296337332403134,0.4656189515265357,0.1768147681850018
K5_1e-2_1e4,5,0.01,10000.0,20140416,P,0.9435693900934016,26664.16146797009,True,0.0018443602698164,0.616844273085241,0.202816305946131,0.1220644507922129
K5_1e-2_1e4,5,0.01,10000.0,20140416,Tr,0.9552680972023306,11213.92579088487,True,0.0008582091028697,0.3027235294912211,0.4335840025380858,0.2181023560701538
K5_1e-2_1e4,5,0.01,10000.0,20140417,P,0.9298969901608388,19305.72600575142,True,0.0024098755603503,0.5941907319677735,0.2184533135536843,0.1148430690790305
K5_1e-2_1e4,5,0.01,10000.0,20140417,Tr,0.9523415142143632,8505.915170864639,True,0.0008065744390569,0.2573925507465525,0.5186372239441862,0.1755051650845676
K5_1e-2_1e4,5,0.01,10000.0,20140422,P,0.917166503559896,11433.366732554949,True,0.0025793718177797,0.606014003687153,0.1904895840256082,0.1180835440293548
K5_1e-2_1e4,5,0.01,10000.0,20140422,Tr,0.9513095794455776,3861.0039449058895,True,0.0006654061509046,0.2183041250573878,0.6095749455049778,0.1227651027323074
K5_1e-2_1e4,5,0.01,10000.0,20140423,P,0.946196040440232,22916.380017211683,True,0.0021553826935402,0.6305929315667466,0.2017704673855563,0.1116772587943889
K5_1e-2_1e4,5,0.01,10000.0,20140423,Tr,0.9645611542254634,16134.106031466054,True,0.0008688081879446,0.2727699745104471,0.5166636623685944,0.1742587091584771
K5_1e-2_1e4,5,0.01,10000.0,20140424,P,0.9523007877117732,32154.37357947848,True,0.0019579765672224,0.6193242983665648,0.2140031669029446,0.1170153458750412
K5_1e-2_1e4,5,0.01,10000.0,20140424,Tr,0.9664685464149618,26446.62068258408,True,0.0009366540967287,0.2910708727692396,0.4569837557231805,0.2174772638258129
K5_1e-2_1e4,5,0.01,10000.0,20140425,P,0.9359659232484666,24469.477218046864,True,0.0023602753706949,0.6218066312204379,0.2069103910092785,0.1048886256480552
K5_1e-2_1e4,5,0.01,10000.0,20140425,Tr,0.949632423667732,12512.231437882789,True,0.0008315439760466,0.2712234040564911,0.5131691993905065,0.1644082762446878
K5_1e-2_1e4,5,0.01,10000.0,20140428,P,0.9108087106609604,14735.327316296763,True,0.0019066180620949,0.5958828009004135,0.2095842099370858,0.103435081761366
K5_1e-2_1e4,5,0.01,10000.0,20140428,Tr,0.9421313676106748,6637.276430446567,True,0.0009701097695705,0.3384834573821887,0.3010469416029798,0.3016308588559356
K5_1e-2_1e4,5,0.01,10000.0,20140429,P,0.9517653376700682,33180.40596144583,True,0.0018147637515166,0.6314109104688628,0.2140012934370347,0.104538370012654
K5_1e-2_1e4,5,0.01,10000.0,20140429,Tr,0.9674731974234604,19513.85955691174,True,0.0009686485201273,0.2918043055953397,0.4301533897061816,0.2445468536018117
K5_1e-2_1e4,5,0.01,10000.0,20140430,P,0.9546713208433856,37718.33571725931,True,0.0022128513737308,0.6053354763580212,0.2261705896498392,0.1209524034617943
K5_1e-2_1e4,5,0.01,10000.0,20140430,Tr,0.937678377620374,25223.473445546144,True,0.0009140725956999,0.3085964216308939,0.4145836803644803,0.2135842030292996
K7_1e-2_1e4,7,0.01,10000.0,20140401,P,0.9239409674435334,15554.340700000026,True,0.007166470726576,0.5489698427298285,0.1873993905958947,0.180405263391234
K7_1e-2_1e4,7,0.01,10000.0,20140401,Tr,0.9617454197063716,10128.56999668284,True,0.0044984812422211,0.2859457644781841,0.301678298138929,0.3696228758470373
