day,proc,protocol,window,N,n_exp,n_soe
20140401,P,raw,day,8846,0.545786471035749,0.9239409674435334
20140401,P,merge_0.001s,day,4906,0.45121687992886794,0.8668488947527188
20140401,P,merge_0.01s,day,3948,0.5067969150753158,0.839025622839103
20140401,P,merge_0.1s,day,3198,0.54186371034029,0.8228367227628363
20140401,P,randomise_1s,10min,214,0.8393618764241102,
20140401,P,randomise_1s,10min,38,0.7499667156612868,
20140401,P,randomise_1s,10min,119,0.8022560845026685,
20140401,P,randomise_1s,10min,67,0.673360129602265,
20140401,P,randomise_1s,10min,119,0.7403394589583777,
20140401,P,randomise_1s,10min,201,0.7513893670361375,
20140401,P,randomise_1s,10min,266,0.7517345544270744,
20140401,P,randomise_1s,10min,222,0.6951279079204349,
20140401,P,randomise_1s,10min,192,0.7896604380461196,
20140401,P,randomise_1s,10min,158,0.8221044105667269,
20140401,P,randomise_1s,10min,146,0.6859349558367702,
20140401,P,randomise_1s,10min,265,0.7801163216528384,
20140401,P,randomise_1s,10min,263,0.7701700266039264,
20140401,P,randomise_1s,10min,167,0.7153271708592811,
20140401,P,randomise_1s,10min,185,0.8139002328315146,
20140401,P,randomise_1s,10min,192,0.7808522408165991,
20140401,P,randomise_1s,10min,70,0.6264736490569698,
20140401,P,randomise_1s,10min,51,0.6896668856659011,
20140401,P,randomise_1s,10min,127,0.7565741407053966,
20140401,P,randomise_1s,10min,57,0.7635516217157422,
20140401,P,randomise_1s,10min,95,0.7533308847039185,
20140401,P,randomise_1s,10min,78,0.6171104217393327,
20140401,P,randomise_1s,10min,114,0.7601162746159786,
20140401,P,randomise_1s,10min,136,0.6486392682270163,
20140401,P,randomise_1s,10min,77,0.6100705095609513,
20140401,P,randomise_1s,10min,60,0.7642375197103686,
20140401,P,randomise_1s,10min,54,0.7540255819054257,
20140401,P,randomise_1s,10min,133,0.7248663608153749,
20140401,P,randomise_1s,10min,180,0.7390367298740104,
20140401,P,randomise_1s,10min,74,0.7347410806054497,
20140401,P,randomise_1s,10min,58,0.7323499594085217,
20140401,P,randomise_1s,10min,82,0.7074238842457343,
20140401,P,randomise_1s,10min,126,0.7465571696840474,
20140401,P,randomise_1s,10min,94,0.7149930988348017,
20140401,P,randomise_1s,10min,81,0.7101582700954361,
20140401,P,randomise_1s,10min,69,0.6948937989940681,
20140401,P,randomise_1s,10min,57,0.677994846649776,
20140401,P,randomise_1s,10min,175,0.8099863988529109,
20140401,P,randomise_1s,10min,120,0.7155224665850394,
20140401,P,randomise_1s,10min,54,0.6224015482937373,
20140401,P,randomise_1s,10min,67,0.6365070904947951,
20140401,P,randomise_1s,10min,134,0.7666932402467677,
20140401,P,randomise_1s,10min,38,0.5930582378871678,
20140401,P,randomise_1s,10min,160,0.8175195712755478,
20140401,P,randomise_1s,10min,72,0.7282654652512185,
20140401,P,randomise_1s,10min,293,0.7964179213918073,
20140401,P,randomise_1s,10min,184,0.756568153812468,
20140401,P,randomise_1s,10min,139,0.7709552804515595,
20140401,P,randomise_1s,10min,789,0.8589707543097592,
20140401,P,randomise_1s,10min,219,0.7653048831424709,
20140401,P,randomise_1s,10min,109,0.7273309379726206,
20140401,P,randomise_1s,10min,138,0.7687430060154637,
20140401,P,randomise_1s,10min,133,0.716271960073473,
20140401,P,randomise_1s,10min,112,0.762027838453034,
20140401,P,randomise_1s,10min,90,0.7817279478402154,
20140401,P,randomise_1s,10min,173,0.8188975718692054,
20140401,P,randomise_1s,10min,106,0.7626813221406783,
20140401,P,randomise_1s,10min,160,0.7585932057210497,
20140401,P,randomise_1s,10min,41,0.6711757920413748,
20140401,P,randomise_1s,10min,51,0.5951744218658932,
20140401,P,randomise_1s,10min,28,0.6228023193699589,
20140401,P,randomise_1s,10min,68,0.6428788592634779,
20140401,P,randomise_1s,10min,24,0.4920522854023542,
20140401,P,randomise_1s,10min,44,0.7597723638374736,
20140401,P,randomise_1s,10min,21,0.8560948743093155,
20140401,P,randomise_1s,10min,27,0.5538244398058707,
20140401,P,randomise_1s,10min,31,0.6657513006923865,
20140401,P,randomise_1s,10min,33,0.5847601709697684,
20140401,P,randomise_1s,10min,32,0.8590245910224208,
20140401,P,randomise_1s,10min,32,0.7321524189009541,
20140401,P,randomise_1s,10min,28,0.5877531883921391,
20140401,P,randomise_1s,10min,52,0.661386610998578,
20140401,P,randomise_1s,10min,36,0.6669642213842726,
20140401,P,randomise_1s,10min,21,0.5865667175696515,
20140401,Tr,raw,day,24146,0.30168729426936153,0.9617454197063717
20140401,Tr,merge_0.001s,day,19120,0.49318855706438414,0.9558002352886307
20140401,Tr,merge_0.01s,day,16761,0.5731969254604684,0.9503151862273413
20140401,Tr,merge_0.1s,day,13574,0.7965186268471993,0.9517327169957381
20140401,Tr,randomise_1s,10min,498,0.684123575098423,
20140401,Tr,randomise_1s,10min,168,0.3541913150397759,
20140401,Tr,randomise_1s,10min,214,0.5771716945599891,
20140401,Tr,randomise_1s,10min,171,0.5241065745038866,
20140401,Tr,randomise_1s,10min,175,0.5131976185111066,
20140401,Tr,randomise_1s,10min,463,0.6919527595949735,
20140401,Tr,randomise_1s,10min,705,0.6277024942446823,
20140401,Tr,randomise_1s,10min,542,0.6456281357235535,
20140401,Tr,randomise_1s,10min,337,0.6299135835394,
20140401,Tr,randomise_1s,10min,450,0.6786684455610603,
20140401,Tr,randomise_1s,10min,509,0.666824258189339,
